sales_price,rating,delivery_type,amazon_prime__y_or_n,best_seller_tag__y_or_n,product_details__k_v_pairs/Customer_Reviews,discount_percentage
,3.5,fulfilled_by_merchant,N,N,Be the first to review this item,
496,3,fulfilled_by_merchant,Y,N,3.0 out of 5 stars 1 customer review,
399,4,fulfilled_by_merchant,N,N,4.0 out of 5 stars 1 customer review,38%
295,3.9,fulfilled_by_merchant,Y,N,3.9 out of 5 stars 14 customer reviews,
1809,4.7,fulfilled_by_merchant,N,N,Be the first to review this item,20%
1529,4,fulfilled_by_amazon,Y,N,4.0 out of 5 stars 1 customer review,15%
223,3.5,fulfilled_by_merchant,N,N,3.4 out of 5 stars 43 customer reviews,
,4.5,fulfilled_by_merchant,N,N,Be the first to review this item,
2475,4.6,fulfilled_by_merchant,N,N,Be the first to review this item,17%
474,3.9,fulfilled_by_amazon,N,N,3.8 out of 5 stars 8 customer reviews,27%
449,5,fulfilled_by_merchant,N,N,5.0 out of 5 stars 1 customer review,
699,5,fulfilled_by_merchant,Y,N,5.0 out of 5 stars 1 customer review,50%
520,5,fulfilled_by_merchant,N,N,5.0 out of 5 stars 3 customer reviews,
443,4,fulfilled_by_merchant,N,N,Be the first to review this item,
749,3,fulfilled_by_merchant,Y,N,3.0 out of 5 stars 4 customer reviews,50%
299,4.7,fulfilled_by_merchant,Y,N,4.7 out of 5 stars 7 customer reviews,
440,4,fulfilled_by_merchant,Y,N,3.7 out of 5 stars 29 customer reviews,
399,5,fulfilled_by_amazon,N,N,5.0 out of 5 stars 1 customer review,50%
999,5,fulfilled_by_merchant,Y,N,5.0 out of 5 stars 1 customer review,38%
599,3.7,fulfilled_by_merchant,N,N,3.7 out of 5 stars 8 customer reviews,
349,3.9,fulfilled_by_merchant,N,N,3.6 out of 5 stars 6 customer reviews,
244,3.2,fulfilled_by_merchant,N,N,2.9 out of 5 stars 4 customer reviews,
735,3,fulfilled_by_merchant,Y,N,3.0 out of 5 stars 1 customer review,
699,4,fulfilled_by_merchant,Y,N,4.0 out of 5 stars 18 customer reviews,
299,5,fulfilled_by_merchant,N,N,5.0 out of 5 stars 1 customer review,70%
299,3.5,fulfilled_by_merchant,Y,N,3.5 out of 5 stars 15 customer reviews,40%
1199,4.4,fulfilled_by_merchant,Y,N,5.0 out of 5 stars 1 customer review,36%
600,5,fulfilled_by_amazon,Y,N,5.0 out of 5 stars 1 customer review,54%
832,4.1,fulfilled_by_merchant,Y,N,3.8 out of 5 stars 10 customer reviews,
1457,2,fulfilled_by_merchant,Y,N,Be the first to review this item,
649,4,fulfilled_by_merchant,N,N,Be the first to review this item,59%
839,3.7,fulfilled_by_merchant,Y,N,3.6 out of 5 stars 25 customer reviews,30%
899,5,fulfilled_by_merchant,N,N,5.0 out of 5 stars 4 customer reviews,66%
999,3.5,fulfilled_by_merchant,N,N,3.1 out of 5 stars 5 customer reviews,
135,4.2,fulfilled_by_amazon,N,N,3.9 out of 5 stars 2 customer reviews,20%
2731,5,fulfilled_by_merchant,N,N,5.0 out of 5 stars 1 customer review,
919,4,fulfilled_by_merchant,Y,N,4.0 out of 5 stars 2 customer reviews,60%
349,5,fulfilled_by_merchant,N,N,5.0 out of 5 stars 1 customer review,81%
677,5,fulfilled_by_merchant,Y,N,5.0 out of 5 stars 1 customer review,
268,3.4,fulfilled_by_merchant,N,N,3.2 out of 5 stars 7 customer reviews,
1301,4,fulfilled_by_merchant,Y,N,Be the first to review this item,
240,3.4,fulfilled_by_merchant,N,N,3.1 out of 5 stars 54 customer reviews,
2328,5,fulfilled_by_amazon,Y,N,,22%
1809,4,fulfilled_by_merchant,N,N,Be the first to review this item,20%
589,3.3,fulfilled_by_merchant,Y,N,3.3 out of 5 stars 21 customer reviews,63%
494,3.5,fulfilled_by_merchant,Y,N,3.5 out of 5 stars 3 customer reviews,
660,3,fulfilled_by_merchant,Y,N,3.0 out of 5 stars 1 customer review,58%
1500,5,fulfilled_by_merchant,N,N,5.0 out of 5 stars 1 customer review,
,3.4,fulfilled_by_merchant,N,N,Be the first to review this item,
,3.4,fulfilled_by_merchant,N,N,Be the first to review this item,
3549,3.1,fulfilled_by_merchant,Y,N,3.1 out of 5 stars 4 customer reviews,65%
669,3,fulfilled_by_amazon,Y,N,3.0 out of 5 stars 1 customer review,55%
652,4,fulfilled_by_amazon,N,N,Be the first to review this item,18%
1139,4.3,fulfilled_by_merchant,Y,N,4.3 out of 5 stars 5 customer reviews,
120,4.4,fulfilled_by_merchant,N,N,4.4 out of 5 stars 2 customer reviews,11%
899,5,fulfilled_by_merchant,N,N,5.0 out of 5 stars 1 customer review,
355,3.1,fulfilled_by_merchant,N,N,3.1 out of 5 stars 4 customer reviews,
777,5,fulfilled_by_merchant,N,N,5.0 out of 5 stars 2 customer reviews,
749,5,fulfilled_by_merchant,Y,N,5.0 out of 5 stars 1 customer review,70%
527,3,fulfilled_by_merchant,Y,N,3.0 out of 5 stars 2 customer reviews,67%
479,4.7,fulfilled_by_amazon,N,N,5.0 out of 5 stars 1 customer review,70%
2709,4.4,fulfilled_by_merchant,N,N,,20%
870,4,fulfilled_by_merchant,Y,N,Be the first to review this item,
1179,5,fulfilled_by_merchant,Y,N,5.0 out of 5 stars 3 customer reviews,65%
397,5,fulfilled_by_merchant,N,N,Be the first to review this item,
4050,3.6,fulfilled_by_merchant,N,N,Be the first to review this item,20%
1948,4,fulfilled_by_merchant,N,N,4.0 out of 5 stars 1 customer review,
799,4,fulfilled_by_merchant,Y,N,3.9 out of 5 stars 8 customer reviews,60%
,5,fulfilled_by_merchant,N,N,5.0 out of 5 stars 1 customer review,
,4,fulfilled_by_merchant,N,N,4.0 out of 5 stars 1 customer review,
1199,5,fulfilled_by_merchant,Y,N,5.0 out of 5 stars 1 customer review,
499,4.4,fulfilled_by_amazon,Y,N,4.4 out of 5 stars 3 customer reviews,67%
129,4.5,fulfilled_by_merchant,N,N,Be the first to review this item,
281,2.5,fulfilled_by_merchant,N,N,Be the first to review this item,
4329,4.4,fulfilled_by_merchant,N,N,Be the first to review this item,20%
1199,5,fulfilled_by_merchant,Y,N,5.0 out of 5 stars 1 customer review,
599,4.5,fulfilled_by_amazon,Y,N,4.6 out of 5 stars 5 customer reviews,40%
881,4,fulfilled_by_merchant,Y,N,4.0 out of 5 stars 1 customer review,32%
,5,fulfilled_by_merchant,N,N,Be the first to review this item,
449,5,fulfilled_by_merchant,N,N,5.0 out of 5 stars 1 customer review,35%
199,1,fulfilled_by_merchant,N,N,Be the first to review this item,71%
999,5,fulfilled_by_merchant,N,N,5.0 out of 5 stars 1 customer review,41%
739,3.4,fulfilled_by_merchant,N,N,3.4 out of 5 stars 22 customer reviews,
784,5,fulfilled_by_merchant,Y,N,5.0 out of 5 stars 2 customer reviews,60%
,4.4,fulfilled_by_merchant,N,N,Be the first to review this item,
519,3.3,fulfilled_by_merchant,Y,N,3.3 out of 5 stars 4 customer reviews,
449,3,fulfilled_by_merchant,N,N,Be the first to review this item,
189,3,fulfilled_by_merchant,N,N,2.9 out of 5 stars 2 customer reviews,14%
299,3.8,fulfilled_by_merchant,N,N,3.9 out of 5 stars 9 customer reviews,
,4,fulfilled_by_merchant,N,N,Be the first to review this item,
549,4,fulfilled_by_merchant,N,N,4.0 out of 5 stars 1 customer review,69%
599,5,fulfilled_by_merchant,N,N,5.0 out of 5 stars 1 customer review,45%
564,1,fulfilled_by_merchant,Y,N,1.0 out of 5 stars 1 customer review,
,3.9,fulfilled_by_merchant,N,N,Be the first to review this item,
299,3.4,fulfilled_by_merchant,N,N,3.5 out of 5 stars 10 customer reviews,
1989,4.5,fulfilled_by_merchant,N,N,Be the first to review this item,20%
3599,4,fulfilled_by_merchant,N,N,Be the first to review this item,20%
999,3.5,fulfilled_by_merchant,Y,N,3.5 out of 5 stars 6 customer reviews,
,3.2,fulfilled_by_merchant,N,N,Be the first to review this item,
299,5,fulfilled_by_merchant,Y,N,5.0 out of 5 stars 1 customer review,
799,3.1,fulfilled_by_merchant,Y,N,3.2 out of 5 stars 8 customer reviews,
299,5,fulfilled_by_merchant,N,N,5.0 out of 5 stars 1 customer review,50%
799,3.2,fulfilled_by_merchant,Y,N,3.0 out of 5 stars 2 customer reviews,
359,3.5,fulfilled_by_merchant,N,N,3.5 out of 5 stars 6 customer reviews,40%
,4.4,fulfilled_by_merchant,N,N,Be the first to review this item,
175,2,fulfilled_by_merchant,Y,N,Be the first to review this item,36%
1399,4,fulfilled_by_amazon,Y,N,4.0 out of 5 stars 1 customer review,44%
532,2.5,fulfilled_by_amazon,Y,N,5.0 out of 5 stars 1 customer review,57%
799,3.3,fulfilled_by_merchant,Y,N,3.3 out of 5 stars 2 customer reviews,47%
449,3.5,fulfilled_by_merchant,N,N,3.0 out of 5 stars 1 customer review,25%
7048.92,3.3,fulfilled_by_merchant,N,N,,
274,4.1,fulfilled_by_merchant,N,N,4.1 out of 5 stars 3 customer reviews,50%
2995,3.8,fulfilled_by_amazon,Y,N,3.8 out of 5 stars 2 customer reviews,33%
1399,3.9,fulfilled_by_merchant,N,N,3.8 out of 5 stars 16 customer reviews,
849,4.5,fulfilled_by_merchant,Y,N,4.7 out of 5 stars 4 customer reviews,50%
250,3.6,fulfilled_by_merchant,N,N,3.5 out of 5 stars 11 customer reviews,
199,4,fulfilled_by_merchant,N,N,Be the first to review this item,
135,4.7,fulfilled_by_merchant,N,N,5.0 out of 5 stars 2 customer reviews,20%
395,4,fulfilled_by_merchant,N,N,4.0 out of 5 stars 2 customer reviews,34%
999,4,fulfilled_by_merchant,Y,N,4.0 out of 5 stars 2 customer reviews,70%
455,3,fulfilled_by_merchant,N,N,3.0 out of 5 stars 1 customer review,65%
298,4.7,fulfilled_by_merchant,N,N,5.0 out of 5 stars 6 customer reviews,
734,4.2,fulfilled_by_merchant,Y,N,4.2 out of 5 stars 2 customer reviews,
850,5,fulfilled_by_amazon,Y,N,5.0 out of 5 stars 1 customer review,6%
1499,5,fulfilled_by_merchant,Y,N,5.0 out of 5 stars 1 customer review,53%
,4.7,fulfilled_by_merchant,N,N,Be the first to review this item,
999,5,fulfilled_by_merchant,N,N,5.0 out of 5 stars 2 customer reviews,
799,4.5,fulfilled_by_merchant,Y,N,5.0 out of 5 stars 1 customer review,51%
789,3.5,fulfilled_by_merchant,N,N,,
596,3.5,fulfilled_by_merchant,Y,N,3.6 out of 5 stars 9 customer reviews,60%
599,5,fulfilled_by_merchant,N,N,Be the first to review this item,
699,3,fulfilled_by_merchant,N,N,3.0 out of 5 stars 2 customer reviews,56%
799,4,fulfilled_by_merchant,Y,N,3.6 out of 5 stars 6 customer reviews,
305,4.1,fulfilled_by_merchant,N,N,3.9 out of 5 stars 25 customer reviews,
547,3.2,fulfilled_by_merchant,Y,N,3.3 out of 5 stars 13 customer reviews,
399,3.3,fulfilled_by_amazon,N,N,3.5 out of 5 stars 3 customer reviews,73%
230,4.5,fulfilled_by_merchant,N,N,Be the first to review this item,30%
389,5,fulfilled_by_merchant,Y,N,5.0 out of 5 stars 1 customer review,
594,4,fulfilled_by_merchant,Y,N,4.0 out of 5 stars 4 customer reviews,
899,3.9,fulfilled_by_merchant,N,N,3.9 out of 5 stars 5 customer reviews,
,4.3,fulfilled_by_merchant,N,N,Be the first to review this item,
,4.4,fulfilled_by_merchant,N,N,Be the first to review this item,
172,4.3,fulfilled_by_merchant,N,N,4.3 out of 5 stars 128 customer reviews,
399,5,fulfilled_by_amazon,N,N,5.0 out of 5 stars 1 customer review,60%
298,3.6,fulfilled_by_merchant,N,N,4.8 out of 5 stars 6 customer reviews,
275,3.5,fulfilled_by_merchant,Y,N,3.6 out of 5 stars 15 customer reviews,45%
3244,2.9,fulfilled_by_merchant,N,N,,
999,3,fulfilled_by_merchant,Y,N,Be the first to review this item,50%
999,4.2,fulfilled_by_amazon,Y,N,4.3 out of 5 stars 78 customer reviews,57%
1494,5,fulfilled_by_merchant,Y,N,5.0 out of 5 stars 1 customer review,21%
1199,5,fulfilled_by_merchant,N,N,5.0 out of 5 stars 1 customer review,20%
399,3,fulfilled_by_merchant,Y,N,3.0 out of 5 stars 1 customer review,
1450,5,fulfilled_by_merchant,N,N,5.0 out of 5 stars 1 customer review,
,4,fulfilled_by_merchant,N,N,,
999,3,fulfilled_by_merchant,N,N,Be the first to review this item,65%
549,5,fulfilled_by_merchant,N,N,Be the first to review this item,
924,4.6,fulfilled_by_merchant,Y,N,5.0 out of 5 stars 2 customer reviews,50%
1190,5,fulfilled_by_amazon,Y,N,5.0 out of 5 stars 1 customer review,
3779,4,fulfilled_by_merchant,N,N,Be the first to review this item,20%
699,3.9,fulfilled_by_amazon,Y,N,4.4 out of 5 stars 8 customer reviews,61%
769.52,4.7,fulfilled_by_merchant,Y,N,4.7 out of 5 stars 5 customer reviews,69%
734,4,fulfilled_by_merchant,Y,N,5.0 out of 5 stars 1 customer review,30%
949,5,fulfilled_by_merchant,Y,N,Be the first to review this item,50%
343,4,fulfilled_by_merchant,N,N,4.0 out of 5 stars 1 customer review,51%
3790,3.7,fulfilled_by_merchant,N,N,Be the first to review this item,41%
617,3.5,fulfilled_by_merchant,Y,N,3.4 out of 5 stars 3 customer reviews,
850,4,fulfilled_by_merchant,Y,N,4.0 out of 5 stars 1 customer review,
441,4.3,fulfilled_by_merchant,N,N,4.4 out of 5 stars 3 customer reviews,
1299,5,fulfilled_by_merchant,N,N,5.0 out of 5 stars 1 customer review,19%
539,3,fulfilled_by_merchant,Y,N,3.0 out of 5 stars 1 customer review,
441,4.3,fulfilled_by_merchant,N,N,,
6149,4.5,fulfilled_by_merchant,N,N,,
2079,4.4,fulfilled_by_merchant,N,N,Be the first to review this item,20%
507,3.1,fulfilled_by_merchant,Y,N,2.9 out of 5 stars 37 customer reviews,
547,3.8,fulfilled_by_merchant,Y,N,3.7 out of 5 stars 34 customer reviews,
1499,5,fulfilled_by_merchant,N,N,Be the first to review this item,50%
522,4,fulfilled_by_merchant,Y,N,4.0 out of 5 stars 1 customer review,
,3.4,fulfilled_by_merchant,N,N,Be the first to review this item,
899,3,fulfilled_by_merchant,N,N,3.0 out of 5 stars 1 customer review,70%
667,4.4,fulfilled_by_amazon,Y,N,4.4 out of 5 stars 3 customer reviews,56%
662,5,fulfilled_by_merchant,Y,N,5.0 out of 5 stars 1 customer review,
1344,4,fulfilled_by_merchant,Y,N,5.0 out of 5 stars 2 customer reviews,
5423,2.9,fulfilled_by_merchant,N,N,2.9 out of 5 stars 2 customer reviews,
,5,fulfilled_by_merchant,N,N,5.0 out of 5 stars 1 customer review,
649,5,fulfilled_by_merchant,N,N,5.0 out of 5 stars 1 customer review,
1899,3.3,fulfilled_by_merchant,Y,N,3.7 out of 5 stars 23 customer reviews,
899,2.9,fulfilled_by_merchant,Y,N,4.0 out of 5 stars 6 customer reviews,59%
854,3.7,fulfilled_by_merchant,Y,N,3.6 out of 5 stars 2 customer reviews,
521,2.5,fulfilled_by_merchant,Y,N,Be the first to review this item,
550,5,fulfilled_by_merchant,Y,N,5.0 out of 5 stars 1 customer review,49%
599,3.7,fulfilled_by_merchant,N,N,3.3 out of 5 stars 14 customer reviews,
918,2.5,fulfilled_by_merchant,Y,N,4.0 out of 5 stars 1 customer review,38%
690,3.3,fulfilled_by_merchant,N,N,3.3 out of 5 stars 7 customer reviews,29%
399,5,fulfilled_by_merchant,N,N,Be the first to review this item,76%
817,4.5,fulfilled_by_merchant,Y,N,4.0 out of 5 stars 1 customer review,
337,4,fulfilled_by_merchant,N,N,Be the first to review this item,
299,3.8,fulfilled_by_merchant,N,N,3.8 out of 5 stars 2 customer reviews,
749,4.5,fulfilled_by_merchant,N,N,4.0 out of 5 stars 1 customer review,51%
459,5,fulfilled_by_merchant,N,N,5.0 out of 5 stars 1 customer review,8%
349,3.8,fulfilled_by_merchant,N,N,4.1 out of 5 stars 7 customer reviews,
425,5,fulfilled_by_merchant,N,N,Be the first to review this item,
1049,3.2,fulfilled_by_merchant,Y,N,3.1 out of 5 stars 19 customer reviews,
2632,5,fulfilled_by_merchant,N,N,Be the first to review this item,60%
224,3,fulfilled_by_merchant,N,N,Be the first to review this item,
599,4,fulfilled_by_merchant,Y,N,3.8 out of 5 stars 26 customer reviews,62%
325,3,fulfilled_by_merchant,Y,N,Be the first to review this item,
429,3,fulfilled_by_merchant,N,N,Be the first to review this item,
669,4,fulfilled_by_merchant,Y,N,Be the first to review this item,62%
2699,5,fulfilled_by_merchant,N,N,Be the first to review this item,35%
617,4,fulfilled_by_amazon,Y,N,4.0 out of 5 stars 1 customer review,75%
599,4,fulfilled_by_merchant,Y,N,4.0 out of 5 stars 1 customer review,20%
349,3,fulfilled_by_merchant,N,N,Be the first to review this item,50%
213,3.7,fulfilled_by_merchant,N,N,4.0 out of 5 stars 7 customer reviews,
289,5,fulfilled_by_merchant,N,N,5.0 out of 5 stars 3 customer reviews,71%
359,3.4,fulfilled_by_merchant,N,N,3.8 out of 5 stars 8 customer reviews,
699,3.4,fulfilled_by_merchant,Y,N,3.1 out of 5 stars 4 customer reviews,61%
,5,fulfilled_by_merchant,N,N,Be the first to review this item,
729,4,fulfilled_by_merchant,Y,N,4.0 out of 5 stars 1 customer review,61%
1150,4,fulfilled_by_merchant,Y,N,4.1 out of 5 stars 51 customer reviews,55%
879,5,fulfilled_by_merchant,Y,N,Be the first to review this item,60%
400,4.2,fulfilled_by_merchant,N,N,5.0 out of 5 stars 8 customer reviews,42%
649,4,fulfilled_by_merchant,N,N,4.1 out of 5 stars 390 customer reviews,
607,3.2,fulfilled_by_merchant,Y,N,3.0 out of 5 stars 11 customer reviews,
632,4.5,fulfilled_by_merchant,Y,N,4.6 out of 5 stars 3 customer reviews,
499,5,fulfilled_by_merchant,Y,N,5.0 out of 5 stars 1 customer review,
1960,5,fulfilled_by_merchant,Y,N,Be the first to review this item,
649,4.8,fulfilled_by_amazon,Y,N,,59%
,5,fulfilled_by_merchant,N,N,5.0 out of 5 stars 1 customer review,
621,5,fulfilled_by_merchant,Y,N,5.0 out of 5 stars 1 customer review,
349,3.9,fulfilled_by_merchant,N,N,4.0 out of 5 stars 73 customer reviews,50%
957,4.8,fulfilled_by_merchant,Y,N,4.8 out of 5 stars 6 customer reviews,
,3.5,fulfilled_by_merchant,N,N,Be the first to review this item,
1039,4.3,fulfilled_by_merchant,N,N,4.2 out of 5 stars 5 customer reviews,
749,3.9,fulfilled_by_merchant,Y,N,4.5 out of 5 stars 2 customer reviews,60%
594,3.6,fulfilled_by_merchant,Y,N,3.7 out of 5 stars 35 customer reviews,
299,1,fulfilled_by_merchant,N,N,Be the first to review this item,70%
809,3.9,fulfilled_by_merchant,Y,N,4.6 out of 5 stars 3 customer reviews,
1388,4.1,fulfilled_by_merchant,N,N,4.1 out of 5 stars 6 customer reviews,43%
283,3.7,fulfilled_by_merchant,Y,N,3.7 out of 5 stars 17 customer reviews,
,4,fulfilled_by_merchant,N,N,Be the first to review this item,
244,4.3,fulfilled_by_merchant,N,N,4.0 out of 5 stars 13 customer reviews,
499,4,fulfilled_by_merchant,N,N,Be the first to review this item,67%
1099,5,fulfilled_by_merchant,N,N,5.0 out of 5 stars 1 customer review,56%
694,2.8,fulfilled_by_merchant,N,N,4.0 out of 5 stars 2 customer reviews,13%
925,5,fulfilled_by_merchant,N,N,5.0 out of 5 stars 6 customer reviews,53%
718,3,fulfilled_by_merchant,Y,N,3.0 out of 5 stars 1 customer review,28%
,4.6,fulfilled_by_merchant,N,N,Be the first to review this item,
,4.4,fulfilled_by_merchant,N,N,Be the first to review this item,
399,4.5,fulfilled_by_amazon,N,N,4.5 out of 5 stars 2 customer reviews,73%
399,2.5,fulfilled_by_amazon,N,N,3.0 out of 5 stars 1 customer review,85%
1104,4.5,fulfilled_by_merchant,Y,N,Be the first to review this item,
648,5,fulfilled_by_merchant,N,N,5.0 out of 5 stars 1 customer review,50%
400,4.8,fulfilled_by_amazon,Y,N,Be the first to review this item,87%
1154,4.3,fulfilled_by_merchant,N,N,4.2 out of 5 stars 6 customer reviews,
194,3.1,fulfilled_by_merchant,N,N,3.1 out of 5 stars 6 customer reviews,
349,3.7,fulfilled_by_merchant,N,N,3.8 out of 5 stars 45 customer reviews,
499,4.5,fulfilled_by_merchant,N,N,4.5 out of 5 stars 2 customer reviews,
1049,3,fulfilled_by_merchant,N,N,3.0 out of 5 stars 1 customer review,79%
571,4.3,fulfilled_by_merchant,Y,N,4.0 out of 5 stars 1 customer review,
322,4,fulfilled_by_merchant,N,N,3.9 out of 5 stars 16 customer reviews,
440,3.4,fulfilled_by_merchant,Y,N,3.5 out of 5 stars 83 customer reviews,
1196,3.7,fulfilled_by_merchant,Y,N,3.5 out of 5 stars 5 customer reviews,
279,3.1,fulfilled_by_amazon,N,N,3.2 out of 5 stars 44 customer reviews,89%
329,4.2,fulfilled_by_merchant,Y,N,4.2 out of 5 stars 52 customer reviews,
2077,5,fulfilled_by_merchant,Y,N,5.0 out of 5 stars 3 customer reviews,
424,4.3,fulfilled_by_merchant,N,N,5.0 out of 5 stars 1 customer review,
599,5,fulfilled_by_merchant,Y,N,5.0 out of 5 stars 3 customer reviews,
449,5,fulfilled_by_merchant,N,N,5.0 out of 5 stars 1 customer review,55%
919,3.9,fulfilled_by_merchant,N,N,3.9 out of 5 stars 2 customer reviews,54%
599,5,fulfilled_by_merchant,Y,N,5.0 out of 5 stars 1 customer review,
399,3.3,fulfilled_by_merchant,N,N,3.0 out of 5 stars 2 customer reviews,
782,4,fulfilled_by_merchant,Y,N,4.0 out of 5 stars 2 customer reviews,50%
980,4.7,fulfilled_by_merchant,N,N,4.6 out of 5 stars 3 customer reviews,
497,3,fulfilled_by_merchant,Y,N,3.0 out of 5 stars 1 customer review,50%
899,3.3,fulfilled_by_amazon,Y,N,3.5 out of 5 stars 3 customer reviews,55%
1435,3.9,fulfilled_by_merchant,Y,N,4.1 out of 5 stars 8 customer reviews,64%
,3,fulfilled_by_merchant,N,N,Be the first to review this item,
1231,3.4,fulfilled_by_merchant,Y,N,3.6 out of 5 stars 37 customer reviews,75%
,4.5,fulfilled_by_merchant,N,N,Be the first to review this item,
1070,3.4,fulfilled_by_merchant,Y,N,3.1 out of 5 stars 8 customer reviews,
1395,4.5,fulfilled_by_merchant,Y,N,4.5 out of 5 stars 14 customer reviews,30%
